Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
164,,65,164,Otus (CPU only),"ThinkSystem SD665-N V3, AMD EPYC 9655 96C 2.6GHz, Infiniband NDR, Rocky Linux 9.4",Universitaet Paderborn - PC2,Lenovo,Germany,2025,Academic,"137,472",,"8,424.20","11,437.67","789,504",,,,,,,Cluster,AMD EPYC 9655 96C 2.6GHz,AMD Zen-5 (Turin),"2,600",Rocky Linux 9.4,Linux,None,96,AMD Zen-5 (Turin),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR,Europe,"49,104",180400
165,138,63,112,C24,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",Skoda Auto a.s.,HPE,Czechia,2023,Industry,"196,608",,"8,401.78","8,870.95","6,832,128",,,,,,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),"2,400",HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"51,008",180277
166,139,54,24,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,"130,000","120,000","8,339.00","11,032.03","3,809,280",,,512.08,Submitted,16.28,,Cluster,IBM POWER9 20C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"50,823",179781
167,140,64,140,CATT,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11, HPE Cray OS",ERDC DSRC,HPE,United States,2024,Research,"196,608",,"8,269.43","8,870.95","6,291,456",,,,,,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),"2,400",HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"47,771",180324
168,141,56,30,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Meteo France,EVIDEN,France,2020,Research,"294,912",,"8,191.03","10,321.92","7,741,440",,,"1,672.00",Submitted,4.90,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"48,356",179892
169,142,60,70,LANTA,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11",NSTDA Supercomputer Center (ThaiSC),HPE,Thailand,2022,Research,"87,296","76,032","8,146.00","13,773.06","1,891,488",,,310.46,Submitted,26.24,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Asia,"50,937",180125
170,143,55,28,Roxy,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",Government,HPE,United States,2020,Government,"174,720",,"8,124.48","13,977.60","4,744,704",,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS Linux 7,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HPE Apollo,Infiniband,Infiniband EDR,North America,"50,046",179849
171,144,57,52,HoreKa-Green,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",Karlsruher Institut für Technologie (KIT),Lenovo,Germany,2021,Academic,"90,932","77,328","8,025.60","15,006.79","1,915,200",,,358.79,Submitted,22.37,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,"2,400",Linux,Linux,NVIDIA Tesla A100 40G,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"50,444",179965
172,145,57,53,Narwhal,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",Navy DSRC,HPE,United States,2020,Government,"276,480",,"8,023.60","11,501.57","7,705,360",,,,,,,MPP,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",SLES15 SP2,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"50,425",179925
173,,65,173,Nibi - GPU,"TRIDENT iC610DR-G7, Intel Xeon 6972P 96C 2.4GHz, 400g Ethernet, Rocky Linux 8",SharcNet,HYPERTEC,Canada,2025,Academic,"6,144",,"7,985.00","15,360.00","1,527,808",,,,,,,Cluster,Intel Xeon 6972P 96C 2.4GHz,Intel Granite Rapids,"2,400",Rocky Linux 8,Linux,None,96,Intel Granite Rapids,TRIDENT iC610DR-G7,HYPERTEC Cluster,Gigabit Ethernet,400g Ethernet,North America,"49,854",180370
174,146,62,98,42,"Apollo 6500, AMD EPYC 7313 16C 3GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Hessian.AI,HPE,Germany,2023,Research,"64,512","62,208","7,938.00","8,829.50","2,211,840",,,352.80,Submitted,22.50,,Cluster,AMD EPYC 7313 16C 3GHz,AMD Zen-3 (Milan),"3,000",RHEL 8.7,Linux,NVIDIA A100 SXM4 80 GB,16,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR,Europe,"50,966",180206
175,147,64,147,Minerva,"ThinkSystem SD650 V3, Intel Xeon Platinum 9242 48C 2.3GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, Linux",Icahn School of Medicine at Mount Sinai,Lenovo,United States,2024,Academic,"28,080","23,760","7,909.00","9,989.17","1,252,352",,95.19,170.91,Submitted,46.28,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux,Linux,NVIDIA H100 SXM5 80GB,48,Xeon Platinum 92xx (Cascade Lake),ThinkSystem SD650 V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR400,North America,"51,050",180317
176,148,56,33,Plasma Simulator,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",National Institute for Fusion Science (NIFS),NEC,Japan,2020,Research,"34,560",,"7,892.70","10,510.66","5,047,920",,529.16,"1,550.10",Submitted,5.09,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,"1,584",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,"48,476",179871
177,149,62,100,Leonardo-CPU,"EVIDEN BullSequana XH2000, Xeon Platinum 8480L 56C 2GHz, InfiniBand HDR 100",EuroHPC/CINECA,EVIDEN,Italy,2023,Academic,"172,032",,"7,841.57","9,433.09","8,754,048",,95.87,"1,118.37",Submitted,7.01,,Cluster,Xeon Platinum 8480L 56C 2GHz,Intel Sapphire Rapids,"2,000",RedHat Enterprise Linux,Linux,None,56,Xeon Platinum (Sapphire Rapids),EVIDEN BullSequana XH2000,EVIDEN BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,944",180204
178,150,59,69,Underhill,"ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,"148,320",,"7,764.57","10,916.35","3,745,152",,,"1,294.72",Submitted,6.00,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,"2,300",Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"50,719",180081
179,151,59,70,Robert,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,"148,320",,"7,764.57","10,916.35","3,745,152",,,"1,294.72",Submitted,6.00,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,"2,300",Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"50,719",180082
180,152,55,29,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Meteo France,EVIDEN,France,2020,Research,"294,912",,"7,683.36","10,469.38","6,843,840",,,"1,655.00",Submitted,4.64,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"48,356",179853
181,153,59,72,alpha ONE,"Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Aleph Alpha,HPE,Germany,2022,Others,"57,344","55,296","7,625.00","7,864.83","1,990,656",,,,,,,Cluster,AMD EPYC 7F52 16C 3.5GHz,AMD Zen-2 (Rome),"3,500",RHEL 8.5,Linux,NVIDIA A100 SXM4 80 GB,16,AMD Zen-2 (Rome),Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,"50,926",180080
182,154,53,26,PupMaya,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Government,HPE,United States,2019,Government,"169,920",,"7,483.73","12,902.40","4,748,928",,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS Linux 7,Linux,None,20,Xeon Gold (Skylake),Apollo 2000,HPE Apollo,Infiniband,Infiniband EDR,North America,"50,798",179604
183,155,63,128,Isambard-AI phase 1,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",University of Bristol,HPE,United Kingdom,2024,Academic,"34,272","22,176","7,417.00","9,285.90","1,859,584",,,117.08,Submitted,63.35,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"49,136",180257
184,156,64,156,Nscale Svartisen,"Supermicro AS-4124GQ-TNMI, AMD EPYC 7713 64C 3.7GHz, AMD Instinct MI250X, Ethernet, 4x 200Gb/s, Rocky Linux 8.9",Nscale Glomfjord DC,Nscale,Norway,2024,Industry,"66,528","58,080","7,400.70","12,380.12","2,062,032",,,,,,,Cluster,AMD EPYC 7713 64C 3.7GHz,AMD Zen-3 (Milan),"3,700",Rocky Linux 8.9,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),Supermicro AS-4124GQ-TNMI,Supermicro Cluster,Ethernet,"Ethernet, 4x 200Gb/s",Europe,"51,033",180343
185,157,64,157,Gautschi AI,"PowerEdge XE 9680, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR, Rocky Linux 9",Purdue University,DELL,United States,2024,Academic,"23,360","21,120","7,261.00","10,856.19","1,157,120",,,168.00,Submitted,43.22,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,"3,800",Rocky Linux 9,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),PowerEdge XE 9680,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,North America,"48,657",180326
186,158,54,26,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Group 42,Nvidia,United Arab Emirates,2019,Industry,"107,568","103,680","7,257.00","9,492.16","2,304,000",,,673.00,Submitted,10.78,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2,NVIDIA DGX,Infiniband,Infiniband EDR,Asia,"50,813",179803
187,159,62,128,LLNL/NNSA CTS-2 Bengal,"DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path, Linux/TOSS",Lawrence Livermore National Laboratory,DELL,United States,2023,Research,"107,520",,"7,196.63","8,085.50","5,197,824",,,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),DELL PowerEdge C6620,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,"48,247",180231
188,,65,188,SNL CTS-2 Mead,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path, Linux/TOSS",Sandia National Laboratories,DELL,United States,2025,Research,"123,648",,"7,056.58","7,913.47","5,355,400",,59.17,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),PowerEdge C6220,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,"48,748",180389
189,160,62,107,LLNL CTS-2 Dane,"DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",Lawrence Livermore National Laboratory,DELL,United States,2023,Research,"123,648",,"7,041.00","7,913.00","5,087,232",,,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),DELL PowerEdge C6620,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,"48,247",180228
190,161,48,11,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",United Kingdom Meteorological Office,HPE,United Kingdom,2016,Research,"241,920",,"7,038.93","8,128.51","6,705,408",,,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"49,064",178925
191,162,54,59,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CEA/TGCC-GENCI,EVIDEN,France,2019,Research,"197,120",,"6,988.04","12,039.37","6,792,576",,,"1,436.00",Submitted,4.87,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,414",179700
192,,65,192,Rorqual (GPU),"PowerEdge XE8640, Xeon Gold 6448Y 32C 2.1GHz, NVIDIA H100 SXM5 80GB, Infiniband HDR200, AlmaLinux 9.5",Calcul Québec/Compute Canada,DELL,Canada,2025,Academic,"47,952","42,768","6,972.00","19,788.36","1,757,184",,129.77,228.42,Submitted,30.52,,Cluster,Xeon Gold 6448Y 32C 2.1GHz,Intel Sapphire Rapids,"2,100",AlmaLinux 9.5,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Gold (Sapphire Rapids),PowerEdge XE8640,Dell PowerEdge Cluster,Infiniband,Infiniband HDR200,North America,"50,800",180356
193,163,61,93,Gaia,"PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband",Petróleo Brasileiro S.A,DELL,Brazil,2023,Industry,"84,480","76,032","6,968.00","13,728.00","2,457,600",,,574.00,Submitted,12.14,,Cluster,AMD EPYC 74F3 24C 3.2GHz,AMD Zen-3 (Milan),"3,200",RHEL 7.8,Linux,NVIDIA A100,24,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,Infiniband,South America,"50,967",180173
194,164,48,18,Theta,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect",DOE/SC/Argonne National Laboratory,HPE,United States,2017,Research,"280,320",,"6,920.90","11,661.31","7,680,000",,,,,,,MPP,Intel Xeon Phi 7230 64C 1.3GHz,Intel Xeon Phi,"1,300",Cray Linux Environment,Linux,None,64,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,North America,"47,347",178926
195,165,58,71,"Karolina, GPU partition","Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2021,Academic,"71,424","62,208","6,752.00","9,080.18","1,710,720",,185.84,310.99,Submitted,21.71,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR200,Europe,"50,561",180026
196,167,62,113,Camphor 3,"DELL PowerEdge C6620, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",NEC / DELL,Japan,2023,Academic,"125,440",,"6,708.13","7,626.75","3,841,920",,162.50,"1,026.64",Submitted,6.53,,Cluster,Xeon CPU Max 9480 56C 1.9GHz,Intel Sapphire Rapids,"1,900",Red Hat Enterprise Linux,Linux,None,56,Intel Xeon Max,DELL PowerEdge C6620,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,Asia,"50,516",180226
197,168,62,114,HPCF-AD,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",ECMWF,EVIDEN,Italy,2022,Research,"245,760",,"6,671.94","8,847.36","5,981,760",,,"1,200.00",Submitted,5.56,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Linux,Linux,None,64,AMD Zen-2 (Rome),EVIDEN BullSequana XH2000,EVIDEN BullSequana,Infiniband,Infiniband HDR200,Europe,"50,993",180211
198,169,62,115,HPCF-AC,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",ECMWF,EVIDEN,Italy,2022,Research,"245,760",,"6,671.94","8,847.36","5,981,760",,,"1,200.00",Submitted,5.56,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Linux,Linux,None,64,AMD Zen-2 (Rome),EVIDEN BullSequana XH2000,EVIDEN BullSequana,Infiniband,Infiniband HDR200,Europe,"50,993",180212
199,170,62,116,HPCF-AB,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",ECMWF,EVIDEN,Italy,2022,Research,"245,760",,"6,671.94","8,847.36","5,981,760",,,"1,200.00",Submitted,5.56,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Linux,Linux,None,64,AMD Zen-2 (Rome),EVIDEN BullSequana XH2000,EVIDEN BullSequana,Infiniband,Infiniband HDR200,Europe,"50,993",180213
200,171,62,117,HPCF-AA,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",ECMWF,EVIDEN,Italy,2022,Research,"245,760",,"6,671.94","8,847.36","5,981,760",,,"1,200.00",Submitted,5.56,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Linux,Linux,None,64,AMD Zen-2 (Rome),EVIDEN BullSequana XH2000,EVIDEN BullSequana,Infiniband,Infiniband HDR200,Europe,"50,993",180214
201,172,54,29,Christofari,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100",SberCloud,Nvidia,Russia,2019,Industry,"99,600","96,000","6,669.00","8,789.76","2,208,000","1,169,680",,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,Europe,"50,820",179778
202,173,55,36,Flow,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,"110,592",,"6,617.80","7,785.68","2,621,440",,230.59,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,495",179808
203,174,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,"153,216",,"6,470.80","10,296.12","5,990,400",,122.24,"1,632.00",Submitted,3.96,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",SUSE Linux,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"49,748",179067
204,175,62,121,SPR-HBM,"Lenovo ThinkSystem SD650 V3, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR",BP,Lenovo,United States,2023,Industry,"119,952",,"6,463.85","7,293.08","6,686,592",,,"1,062.00",Submitted,6.09,,Cluster,Xeon CPU Max 9480 56C 1.9GHz,Intel Sapphire Rapids,"1,900",Linux,Linux,None,56,Intel Xeon Max,ThinkSystem SD650 V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR,North America,"50,996",180201
205,,65,205,Berzelius3,"NVIDIA DGX H200, Xeon Platinum 8480C 56C 2GHz, NVIDIA H200 SXM5 141 GB, Octo-rail NVIDIA HDR100 Infiniband, Ubuntu 22.04",National Supercomputer Centre (NSC),EVIDEN,Sweden,2025,Academic,"18,688","16,896","6,423.00","8,678.91","1,474,560",,85.34,126.16,Submitted,50.91,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H200 SXM5 141 GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H200,NVIDIA DGX,Infiniband,Octo-rail NVIDIA HDR100 Infiniband,Europe,"48,488",180375
206,176,49,30,ONYX,"Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect",ERDC DSRC,HPE,United States,2017,Research,"211,816",,"6,316.03","7,455.92","7,001,472",,,,,,,MPP,Xeon E5-2699v4  22C 2.2GHz,Intel Broadwell,"2,200",Cray Linux Environment,Linux,None,22,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,North America,"47,771",179100
207,177,58,76,LUMI-C,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",EuroHPC/CSC,HPE,Finland,2021,Research,"194,560",,"6,299.79","7,626.75","6,201,599",,102.60,"1,215.53",Submitted,5.18,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",HPE Cray OS,Linux,None,64,AMD Zen-3 (Milan),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,908",180045
208,178,64,178,Genkai Node Group A,"PRIMERGY CX2550M7, Xeon Platinum 8490H 60C 1.9GHz, Infiniband NDR200, Rocky Linux","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2024,Academic,"122,880",,"6,219.90","7,471.10","7,358,000",,,967.43,Submitted,6.43,,Cluster,Xeon Platinum 8490H 60C 1.9GHz,Intel Sapphire Rapids,"1,900",Rocky Linux,Linux,None,60,Xeon Platinum (Sapphire Rapids),PRIMERGY CX2550M7,Fujitsu PRIMERGY,Infiniband,Infiniband NDR200,Asia,"50,421",180332
209,179,62,125,DAIDC,"Apollo 6500, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Government,HPE,South Korea,2023,Government,"54,720","51,840","6,183.00","7,413.22","2,224,512",,,,,,,Cluster,AMD EPYC 74F3 24C 3.2GHz,AMD Zen-3 (Milan),"3,200",RHEL 8.6,Linux,NVIDIA A100 SXM4 80 GB,24,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR,Asia,"50,984",180220
210,180,51,23,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),EVIDEN,Germany,2018,Research,"114,480",,"6,177.73","9,891.07","4,996,992",,75.35,"1,361.00",Submitted,4.54,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",CentOS,Linux,None,24,Xeon Platinum (Skylake),BullSequana X1000,BullSequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179424
211,181,56,45,,"HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST),HPE,Japan,2020,Research,"100,096","87,040","6,162.00","8,439.62","2,128,128",,130.23,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,"3,000",RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,Asia,"50,860",179896
212,182,64,182,Honhai Super AI Computing Center 1,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, RedHat Enterprise Linux",HHSAICC1,ASUSTeK / ASUS Cloud / Taiwan Web Service Corporation,Taiwan,2024,Industry,"18,688","16,896","6,123.00","8,576.00","1,056,768",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",RedHat Enterprise Linux,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Asia,"51,040",180320
213,183,57,67,SQUID - CPU Nodes,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",Osaka University,NEC,Japan,2021,Academic,"115,520",,"6,105.10","8,871.94","6,558,880",,82.87,"1,222.20",Submitted,5.00,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,"2,400",CentOS,Linux,None,38,Xeon Platinum 83xx (Ice Lake),NEC LX 103Bj-8,NEC Cluster,Infiniband,Infiniband HDR200,Asia,"48,585",179934
214,,65,214,Lockhart TDS,"HPE Cray EX EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11, HPE Cray OS",AMD QTS Data Center,HPE,United States,2021,Vendor,"33,984","31,680","6,063.40","7,680.00","1,613,824",,61.57,,,,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"51,083",180360
